474.58,527.81,48.701
445.91,542.76,76.854
393.6,544.54,131.05
326.12,556.05,223.96
287.54,553.29,245.33
261.73,569.35,291.99
223.74,578.51,356.9
177.32,563.88,360.27
179.54,588.67,406.82
107.09,589.47,486.34
82.354,590.89,511.27
58.212,588.08,542.7
41.347,613.52,584.62
-61.669,636.12,676.09
-97.486,631.09,723.18
-162.6,637.26,780.59
-169.56,644.31,815.9
-230.81,641.88,885.97
-281.82,677.96,930.81
-310.52,670.5,989.68
-374,683.75,1049.2
-400.81,668.8,1113.1
-480.12,722.96,1202.4
-590.84,730.04,1316.5
-644.61,754.49,1408.4
-757.18,782.67,1517.4
-762.49,791,1531.3
-757.87,782.77,1527.4
-746.39,774.95,1540.9
-779.44,781.43,1533.6
-742.21,775.44,1543.5
-751.46,784.55,1540.3
-765.5,783.03,1540.3
-743.86,776.28,1535.7
-755.26,759.7,1534.1
-769.34,782.55,1526.9
-744.8,763.85,1526
-737.29,770.98,1535.6
-756.14,777.19,1523.6
-738.29,781.52,1527.5
-738.09,796.7,1526.9
-857.89,778.83,1622.8
-857.25,764.34,1625
-892.62,743.15,1653.9
-952.93,743.87,1677.8
-954.6,754.29,1708.5
-1033.9,750.69,1768.5
-1115.1,727.09,1859.4
-1221.7,707.32,1927
-1218.9,710.33,1915.4
-1212.9,718.56,1931.7
-1213.3,713.25,1921.1
-1211,692.79,1937.5
-1208.7,707.71,1916.3
-1204.4,711.64,1921.5
-1220,708.25,1915.9
-1198.3,723.37,1936.3
-1207.1,710.06,1916.3
-1211.5,714.72,1904.6
-1220.9,701.73,1919.3
-1203,711.33,1917.7
-1208.3,727.01,1908.9
-1208.6,707.46,1949.3
-1223,703.67,1930.6
-1218.4,713.4,1930.1
-1194.3,719.78,1921.3
-1223.4,708.28,1925
-1211.4,716.06,1928.6
-1220.8,719.04,1930
-1208.3,712.75,1930.3
-1218.6,715.1,1944.6
-1210.8,702.09,1945.4
-1206.9,704.31,1925.5
-1211.1,699.7,1920.9
-1221.2,719.49,1947.8
-1217.3,707.62,1931
-1219.2,705.93,1909.2
-1202.8,722.31,1946.5
-1215.8,720.91,1938.7
-1206.6,726.42,1959.1
-1210.1,728.7,1932.2
-1195.2,711.49,1950.2
-1198.5,720.21,1932.9
-1211,715.97,1931.6
-1209.2,719.79,1914.4
-1214.9,697,1908.4
-1212.8,724.3,1927.7
-1217.6,705.71,1954.6
-1211.5,725.44,1907.6
-1206.4,699.84,1921.7
-1226.9,728.05,1909.9
-1230,721.29,1931
-1225.1,733.51,1928.2
-1228.6,719.06,1933.3
-1226.8,708.95,1925.7
-1201.7,727.15,1930.3
-1226.6,725.93,1935.3
-1215.7,730.75,1949.1
-1233,697.01,1903.9
-1221.6,727.49,1924.2
-1207.4,721.59,1943.4
-1183.6,736.11,1924.7
-1226.3,715.56,1922.6
-1218.2,718.62,1929.5
-1207.3,705.06,1931.8
-1195.4,707.83,1936.2
-1215.6,699.62,1926.1
-1222,722.95,1925.9
-1227.9,720.48,1930.5
-1223,711.11,1937.3
-1221.7,699.06,1944.9
-1212,711.85,1922.5
-1214.6,718.44,1922.3
-1220.5,724.38,1941.5
-1218,724.35,1939.2
-1217.7,736.41,1929.3
-1216.7,702.54,1939
-1196.3,693.84,1929.8
-1220.2,692.03,1929.5
-1221.4,710.48,1945.7
-1211,720.43,1925.1
-1210.7,736.45,1933.2
-1226.5,723.32,1957.1
-1219.7,718.94,1921.6
-1213.7,729.4,1923.2
-1216.7,717.69,1937
-1227.3,714.8,1942.8
-1228.1,722.56,1942.5
-1209.6,722.16,1934.3
-1209.9,702.05,1902.5
-1170.2,676.94,1875.9
-1164.3,633.19,1772.8
-1065.6,584.25,1676.9
-1050.3,587.37,1652.9
-1062.9,573.97,1645
-1058.6,575.9,1642.2
-1052.8,576.86,1640.1
-1080.1,571.11,1650.6
-1076.2,590.74,1651
-1069.9,595.97,1632.5
-1041.7,575.64,1634
-1073.2,579.23,1620.5
-1052.9,576.47,1640.9
-1065.8,568.5,1633.2
-1059.4,553.32,1636.3
-1060.4,569.27,1654.6
-1059.4,570.19,1643
-1072.3,583.66,1625.1
-1054.6,578.64,1636.5
-1054.5,587.83,1653
-1069.5,553.75,1623.3
-1057.8,590.27,1627.2
-1053,562.77,1639.5
-1053.7,576.92,1641.4
-1046.9,582.76,1634.2
-1045.4,595.32,1639.4
-1068,567.06,1648.4
-1066.3,558.92,1632.9
-1061.2,575,1631.6
-1051,580.33,1647.6
-1050.5,603.09,1646.8
-1071.5,574.21,1632.2
-1046.2,591.53,1649.1
-1058.4,590.56,1644.7
-1047.7,600.78,1634.8
-1041,595.01,1651
-1052,580.93,1642.6
-1052.1,581.11,1643.3
-1060.9,576.16,1637.3
-1060.7,594.65,1647.2
-1064.6,601.92,1632.3
-1057.9,574.47,1634
-1057.1,575.95,1631.6
-1066.3,592.28,1622.6
-1062.1,579,1647
-1074.7,581.67,1637.6
-1040.1,578.94,1647.4
-1063.9,572.39,1638.6
-1055.9,581.3,1632.9
-1084.4,601.45,1627.5
-1073.4,585.96,1635.2
-1058.7,572.93,1634.4
-1062.9,576.77,1617.5
-1066.6,571.7,1641.3
-1069.6,566.94,1634.8
-1097.6,495.97,1576.4
-1128.6,473.47,1601.3
-1130.8,426.94,1562.6
-1134.5,394.4,1528.1
-1167.2,342.71,1509.8
-1180.5,293.68,1495
-1221.7,213.4,1437.2
-1246.6,156.28,1421
-1283.3,114.13,1392.1
-1280.3,93.065,1382.7
-1319.2,53.013,1371.8
-1317.3,48.629,1338.5
-1337.3,-1.8302,1320.8
-1373,-47.452,1311.8
-1378.6,-89.331,1296.2
-1390.6,-137.54,1254.4
-1429.5,-131.72,1255.3
-1452.8,-231.79,1247.6
-1461.6,-261.34,1195.4
-1487,-276.81,1188
-1539,-351.96,1162.1
-1528.7,-385.11,1158.6
-1546.2,-448.09,1117.1
-1564.5,-470.89,1110
-1581.4,-482.07,1094.7
-1635.8,-581.26,1045.6
-1648.7,-609.12,1034.4
-1713.9,-711.18,973.71
-1723.1,-724.95,978.78
-1716.9,-735.15,962.05
-1717.6,-748.1,994.39
-1704,-719.55,982.85
-1698.4,-730,1005.8
-1694.9,-728.59,988.07
-1679.2,-722.28,995.96
-1715.5,-731.61,981.9
-1714.4,-742.4,982.52
-1697.5,-723.05,984.23
-1725.6,-715.98,968.18
-1698.4,-729.23,988.04
-1717.3,-719,980.99
-1708,-739.84,984.42
-1718.9,-735.85,962.67
-1689.6,-730.94,991.81
-1695,-731.82,970.5
-1704.5,-723.56,988.69
-1716,-728.26,982.24
-1719.3,-728.2,1003.3
-1724.4,-710.92,971.82
-1713.6,-721.04,988.12
-1709,-720.25,989.5
-1721.8,-721.3,988.67
-1714.7,-726.93,985.84
-1710.4,-738.03,979.23
-1717.2,-716.18,975.24
-1728.6,-738.28,1000.9
-1706.1,-736.95,997.83
-1708.8,-724.9,1002
-1710,-736.54,995.06
-1724.4,-732.49,980.08
-1699.8,-711.16,983.1
-1721.9,-733.76,982.32
-1705.4,-725.5,971.6
-1713.3,-733.72,987.42
-1717.6,-764.05,988.68
-1704.1,-732.82,991.34
-1709.6,-714.34,986.95
-1705,-733.12,963.98
-1736.9,-737.86,974.14
-1709.1,-748.27,997.82
-1714.7,-717.76,982.92
-1700.7,-734.26,980.3
-1708.8,-715.31,997.45
-1705,-749.01,982.39
-1645.3,-763.57,893.06
-1614.5,-746.85,870.69
-1601.2,-760.65,830.5
-1548.6,-771.83,794.6
-1547.7,-780.45,761.28
-1427.8,-770.17,649.8
